# de Alcobas,# de Baños Completos,# de Niveles ,Administración $,Area Terraza en M2,Año de construcción,Cantidad de Parqueaderos,Estrato,Latitud,Longitud,M2 Area Construida,Piso #,Precio,Predial $,AnoDeExtraccion,MesDeExtraccion
3.0,2.0,1.0,180000.0,0.0,2003.0,1.0,4.0,4.7394047,-74.06354770000002,58.0,6.0,213000000.0,895000.0,2020,5
2.0,2.0,1.0,604000.0,90.0,2005.0,2.0,5.0,4.7317024000000005,-74.0744929,127.0,1.0,640000000.0,2782000.0,2020,5
3.0,4.0,1.0,677000.0,36.0,2004.0,2.0,6.0,4.685315900000001,-74.04566349999997,160.0,7.0,895000000.0,4546000.0,2020,5
3.0,2.0,1.0,249600.0,0.0,2014.0,1.0,4.0,4.6558985,-74.12825800000002,73.49,11.0,410000000.0,1186000.0,2020,5
2.0,3.0,1.0,538000.0,0.0,2005.0,1.0,6.0,4.6977631,-74.04769290000002,83.0,2.0,490000000.0,2574000.0,2020,5
3.0,4.0,1.0,1379547.0,0.0,1996.0,4.0,5.0,4.710128125199492,-74.02735332858333,265.0,4.0,1580000000.0,9794000.0,2020,5
3.0,3.0,1.0,440000.0,0.0,1997.0,2.0,5.0,4.7242497000000006,-74.0650182,115.0,6.0,430000000.0,1781000.0,2020,5
1.0,1.0,1.0,350000.0,0.0,2007.0,2.0,5.0,4.6261201,-74.0717603,71.0,2.0,385000000.0,,2020,5
3.0,2.0,1.0,495000.0,0.0,1987.0,2.0,5.0,4.692043574771955,-74.06117274704837,110.0,4.0,430000000.0,2023000.0,2020,5
3.0,3.0,1.0,670000.0,0.0,1986.0,1.0,6.0,4.693906399999999,-74.03872460000002,188.0,3.0,790000000.0,5698000.0,2020,5
2.0,3.0,1.0,950000.0,0.0,1984.0,3.0,6.0,4.6591853,-74.05304419999999,193.8,6.0,1350000000.0,,2020,5
2.0,2.0,1.0,341200.0,0.0,2007.0,1.0,5.0,11.011686772221378,-74.83596419339295,62.5,1.0,190000000.0,,2020,5
4.0,5.0,1.0,1117100.0,152.59,2013.0,4.0,6.0,4.745229568248675,-74.07174840052487,274.56,1.0,1710000000.0,,2020,5
2.0,2.0,1.0,415000.0,0.0,2011.0,1.0,5.0,10.982594,-74.805565,75.0,4.0,240000000.0,,2020,5
