Administracion,Area,Banos,Barrio,Ciudad,Estrato,ExtractionDate,Habitaciones,Latitud,Longitud,Parqueaderos,Precio,ScreenshotPath,SitioWeb
417000.0,115.0,2.0,El Poblado,Medellín,6.0,2022-09-17,2.0,6.1822123527526855,-75.57357788085938,1.0,395000000.0,Images/fincaraiz_5648077.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-poblado/medellin/5648077
,100.0,1.0,Buenos Aires,Bello,3.0,2022-11-12,3.0,6.342885494232178,-75.56611633300781,0.0,190000000.0,Images/fincaraiz_5665499.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/buenos-aires/bello/5665499
69000.0,45.0,1.0,Robledo,Medellín,2.0,2022-09-17,2.0,6.274177551269531,-75.61881256103516,0.0,125000000.0,Images/fincaraiz_5748855.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/robledo/medellin/5748855
750000.0,179.0,4.0,El Poblado,Medellín,6.0,2022-09-17,3.0,6.19682502746582,-75.56796264648438,2.0,620000000.0,Images/fincaraiz_5758978.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-poblado/medellin/5758978
390000.0,98.0,3.0,San Lucas,Medellín,6.0,2022-09-17,3.0,6.180325984954834,-75.57266998291016,1.0,470000000.0,Images/fincaraiz_5760399.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/san-lucas/medellin/5760399
,66.0,2.0,SURAMERICA,Itaguí,4.0,2022-09-17,2.0,6.1611151695251465,-75.63099670410156,1.0,320000000.0,Images/fincaraiz_5766681.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/suramerica/itagui/5766681
,68.0,2.0,Los Salvatorianos,La Estrella,4.0,2022-09-17,3.0,6.164000034332275,-75.63899993896484,1.0,395000000.0,Images/fincaraiz_5770156.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/los-salvatorianos/la-estrella/5770156
310000.0,96.0,2.0,Los bernal,Medellín,5.0,2022-09-17,3.0,6.217812061309815,-75.60408020019531,1.0,420000000.0,Images/fincaraiz_5789412.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/los-bernal/medellin/5789412
220000.0,74.0,2.0,Los bernal,Medellín,5.0,2022-09-17,3.0,6.217812061309815,-75.60408020019531,1.0,380000000.0,Images/fincaraiz_5791336.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/los-bernal/medellin/5791336
320000.0,80.0,2.0,LOS BERNAL,Medellín,5.0,2022-09-17,3.0,6.217198371887207,-75.60527801513672,1.0,395000000.0,Images/fincaraiz_5802858.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/los-bernal/medellin/5802858
