Administracion,Area,Banos,Barrio,Ciudad,ExtractionDate,Habitaciones,Latitud,Longitud,Parqueaderos,Precio,ScreenshotPath,SitioWeb
656400.0,190.33,2.0,El Campestre,Medellín,2022-08-28,2.0,6.186565,-75.56914,2.0,1200000000.0,Images/219940.jpeg,https://www.redinmobiliariamls.com/medellin/el-campestre/1/219940
2300000.0,281.0,2.0,Provenza,Medellín,2022-08-28,3.0,6.207534,-75.565817,2.0,1729000000.0,Images/219942.jpeg,https://www.redinmobiliariamls.com/medellin/provenza/1/219942
187872.0,78.88,2.0,V. La Veta,Copacabana,2022-08-28,3.0,6.256602,-75.575637,1.0,270000330.0,Images/220040.jpeg,https://www.redinmobiliariamls.com/copacabana/v-la-veta/1/220040
1715100.0,379.0,3.0,El Poblado,Medellín,2022-08-28,3.0,6.256602,-75.575637,4.0,2700000000.0,Images/220048.jpeg,https://www.redinmobiliariamls.com/medellin/el-poblado/1/220048
278000.0,74.7,2.0,Altos del Poblado,Medellín,2022-08-09,2.0,6.21951,-75.563171,1.0,500000000.0,Images/220189.jpeg,https://www.redinmobiliariamls.com/medellin/altos-del-poblado/1/220189
830000.0,260.0,3.0,La Tomatera,Medellín,2022-08-28,3.0,6.252762,-75.575037,3.0,950000000.0,Images/220235.jpeg,https://www.redinmobiliariamls.com/medellin/la-tomatera/1/220235
250000.0,112.0,2.0,Navarra,Bello,2022-08-09,3.0,6.343384,-75.533257,1.0,500000000.0,Images/220281.jpeg,https://www.redinmobiliariamls.com/bello/navarra/1/220281
,85.0,2.0,Belén,Medellín,2022-08-28,3.0,6.224875,-75.605439,0.0,220000000.0,Images/220525.jpeg,https://www.redinmobiliariamls.com/medellin/belen/1/220525
611587.0,121.0,2.0,Alto de las Palmas ,Envigado,2022-08-28,2.0,6.155188,-75.530049,2.0,1250000000.0,Images/220548.jpeg,https://www.redinmobiliariamls.com/envigado/alto-de-las-palmas-/1/220548
678000.0,225.0,3.0,El Tesoro,Medellín,2022-08-28,3.0,6.256602,-75.575637,3.0,1250000000.0,Images/220589.jpeg,https://www.redinmobiliariamls.com/medellin/el-tesoro/1/220589
1052000.0,210.0,4.0,Oviedo,Medellín,2022-08-28,3.0,6.201281,-75.574971,2.0,820000000.0,Images/220695.jpeg,https://www.redinmobiliariamls.com/medellin/oviedo/1/220695
701000.0,145.24,2.0,Laureles,Medellín,2022-08-28,3.0,6.245532,-75.598074,2.0,520000000.0,Images/220835.jpeg,https://www.redinmobiliariamls.com/medellin/laureles/1/220835
230000.0,166.0,3.0,Laureles,Medellín,2022-08-28,3.0,6.256602,-75.575637,2.0,470000000.0,Images/220868.jpeg,https://www.redinmobiliariamls.com/medellin/laureles/1/220868
1400000.0,329.5,3.0,Los Balsos Nº 1,Medellín,2022-08-28,3.0,6.191291,-75.572025,4.0,2150000000.0,Images/220892.jpeg,https://www.redinmobiliariamls.com/medellin/los-balsos-n-1/1/220892
380000.0,108.0,2.0,El Poblado,Medellín,2022-08-28,2.0,6.20257,-75.574971,2.0,798000000.0,Images/220893.jpeg,https://www.redinmobiliariamls.com/medellin/el-poblado/1/220893
122000.0,65.0,1.0,Asdesillas,Sabaneta,2022-08-28,2.0,6.154422,-75.607523,1.0,320000000.0,Images/220927.jpeg,https://www.redinmobiliariamls.com/sabaneta/asdesillas/1/220927
,240.0,4.0,La Candelaria,Medellín,2022-08-28,3.0,6.248881,-75.563127,1.0,430000000.0,Images/221061.jpeg,https://www.redinmobiliariamls.com/medellin/la-candelaria/1/221061
680900.0,280.0,3.0,Conquistadores,Medellín,2022-08-28,4.0,6.241713,-75.579886,3.0,1080000000.0,Images/221146.jpeg,https://www.redinmobiliariamls.com/medellin/conquistadores/1/221146
600000.0,171.8,4.0,Los Balsos Nº 1,Medellín,2022-08-28,3.0,6.191647,-75.566074,2.0,800000000.0,Images/221237.jpeg,https://www.redinmobiliariamls.com/medellin/los-balsos-n-1/1/221237
,182.17,6.0,Granada,Medellín,2022-08-28,5.0,6.256602,-75.575637,0.0,320000000.0,Images/221276.jpeg,https://www.redinmobiliariamls.com/medellin/granada/1/221276
1255000.0,346.19,3.0,Los Balsos Nº 2,Medellín,2022-08-28,3.0,6.194377,-75.569741,3.0,1900000000.0,Images/221334.jpeg,https://www.redinmobiliariamls.com/medellin/los-balsos-n-2/1/221334
511679.0,90.65,2.0,Santa Teresita,Medellín,2022-08-28,3.0,6.239824,-75.598655,1.0,670000000.0,Images/221592.jpeg,https://www.redinmobiliariamls.com/medellin/santa-teresita/1/221592
1600000.0,482.86,4.0,Los Balsos Nº 1,Medellín,2022-08-28,4.0,6.186496,-75.560655,4.0,4600000000.0,Images/221664.jpeg,https://www.redinmobiliariamls.com/medellin/los-balsos-n-1/1/221664
209500.0,134.0,3.0,Nogal,Medellín,2022-08-28,3.0,6.236764,-75.598641,1.0,805000000.0,Images/221695.jpeg,https://www.redinmobiliariamls.com/medellin/nogal/1/221695
957600.0,205.0,2.0,Lalinde,Medellín,2022-08-28,2.0,6.210766,-75.566367,2.0,2000000000.0,Images/221725.jpeg,https://www.redinmobiliariamls.com/medellin/lalinde/1/221725
,141.47,3.0,Laureles,Medellín,2022-08-28,3.0,6.256602,-75.575637,0.0,490000000.0,Images/221749.jpeg,https://www.redinmobiliariamls.com/medellin/laureles/1/221749
458000.0,127.84,3.0,Loma de Los Bernal,Medellín,2022-08-28,4.0,6.256602,-75.575637,1.0,425000000.0,Images/221764.jpeg,https://www.redinmobiliariamls.com/medellin/loma-de-los-bernal/1/221764
1005000.0,262.25,4.0,Loma de Las Brujas,Envigado,2022-08-28,3.0,6.177214,-75.576325,3.0,1550000000.0,Images/221773.jpeg,https://www.redinmobiliariamls.com/envigado/loma-de-las-brujas/1/221773
1400000.0,300.0,3.0,Altos del Poblado,Medellín,2022-08-28,3.0,6.256602,-75.575637,2.0,1450000000.0,Images/221783.jpeg,https://www.redinmobiliariamls.com/medellin/altos-del-poblado/1/221783
594000.0,172.5,3.0,Lalinde,Medellín,2022-08-09,3.0,6.256602,-75.575637,1.0,970000000.0,Images/221980.jpeg,https://www.redinmobiliariamls.com/medellin/lalinde/1/221980
380000.0,136.5,3.0,Laureles,Medellín,2022-08-28,3.0,6.241051,-75.598162,2.0,620000000.0,Images/222011.jpeg,https://www.redinmobiliariamls.com/medellin/laureles/1/222011
1904483.0,382.0,4.0,Santa Maria de los Angeles,Medellín,2022-08-28,3.0,6.192373,-75.577962,4.0,950000000.0,Images/222031.jpeg,https://www.redinmobiliariamls.com/medellin/santa-maria-de-los-angeles/1/222031
